Id;FirstName;LastName;DOB;Seniority;Specialization;JoinedOn
INT;STRING;STRING;DATETIME;INT;INT;DATETIME
1;Anna;Nowak;12-03-1991;1;1;12-03-2014
2;Jan;Husain;12-06-1995;1;2;12-03-2015
3;Karol;Jobs;02-03-1994;1;2;12-03-2019
4;Matyas;Underwood;12-09-1990;1;1;12-03-2020
5;Rasmus;Stamper;12-03-1994;1;1;12-03-2019
1;Abid;Abel;05-03-1990;2;1;12-03-2018
2;Francis;Peralta;26-05-1987;2;2;12-03-2019
3;Claire;Macek;12-09-1973;2;2;12-03-2016
4;John;Bloom;12-06-2000;2;0;12-03-2019
5;Cecilie;Hilton;19-03-1988;2;3;12-08-2020
6;Martin;Tryanowski;01-03-2001;2;2;12-03-2005
7;Eric;Cobain;12-03-1983;2;1;12-03-2006
8;Oliver;Potter;10-12-1978;2;2;12-03-2007
9;Mauric;Weasley;16-04-1992;2;1;12-03-2007
10;Isaac;Granger;20-03-1970;2;2;12-03-2008
11;Doug;Edgley;12-08-1965;2;1;12-03-2009
12;Maria;Synek;22-03-1986;2;0;12-12-2010
13;Daniel;Beethoven;20-12-1970;2;1;12-03-2011
14;Ben;Mozart;01-03-1982;2;1;12-03-2009
15;Benjamin;Flegl;10-04-1976;2;2;12-05-2010
16;Jana;Borovec;08-03-1970;2;1;12-05-2011
17;Adam;Borowski;15-12-1968;2;1;12-03-2012
18;Barbora;Antilla;25-09-1980;2;2;12-03-2013
19;Marcus;Stamper;04-04-1994;2;1;12-03-2014
20;Kamil;Barro;16-09-1967;2;2;12-03-2015
21;Karol;Messi;12-06-1987;2;1;12-03-2016
